animeID,name,title_english,type,source,producers,genre,studio,episodes,status,airing,start_date,end_date,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,broadcast
5922,Tenjouhen: Utsunomiko,,Movie,Unknown,,Adventure,,1.0,Finished Airing,False,1990-09-22,,1 hr 11 min,PG - Children,6.7,44,13179,10601,404,1,,
5923,Utsunomiko: Heaven Chapter,,OVA,Unknown,,Adventure,,13.0,Finished Airing,False,1990-10-24,1992-02-01,30 min per ep,PG - Children,6.01,82,7700,10153,507,0,,
5925,Neko Hiki no Oruorane,,OVA,Unknown,,Music,J.C.Staff,1.0,Finished Airing,False,1992-11-26,,30 min,G - All Ages,6.27,274,6770,9464,717,3,,
5926,Antique Heart,,OVA,Original,,Magic,J.C.Staff,1.0,Finished Airing,False,1988-06-05,,29 min,G - All Ages,5.57,314,8763,9100,868,0,,
5927,Hoshi Neko Fullhouse,Star Cat Fullhouse,OVA,Original,Walkers Company,Sci-Fi,Artland,4.0,Finished Airing,False,1989-06-16,1989-12-02,30 min per ep,R+ - Mild Nudity,5.87,129,8062,10205,492,1,,
5928,Kigyou Senshi Yamazaki: Long Distance Call,,OVA,Manga,,Sci-Fi,Ripple Film,1.0,Finished Airing,False,1997-10-25,,43 min,R+ - Mild Nudity,5.93,110,7891,10422,444,0,,
5929,Hi no Ame ga Furu,,Movie,Unknown,,Drama,Mushi Production,1.0,Finished Airing,False,1988-09-15,,1 hr 20 min,G - All Ages,7.44,201,1867,8989,918,1,,
5930,Hayou no Tsurugi: Shikkoku no Mashou,,OVA,Unknown,Magic Bus,Supernatural,,2.0,Finished Airing,False,1992-11-27,1992-12-02,30 min per ep,R - 17+ (violence & profanity),5.95,57,7836,11317,285,0,,
5931,Ai to Ken no Camelot: Mangaka Marina Time Slip Jiken,Camelot,OVA,Unknown,Ashi Production,Adventure,,1.0,Finished Airing,False,1990-08-25,,48 min,PG-13 - Teens 13 or older,5.71,109,8445,10238,485,2,,
5933,Shiroi Kiba White Fang Monogatari,,Special,Novel,TBS,Adventure,Sunrise,1.0,Finished Airing,False,1982-05-05,,1 hr 13 min,G - All Ages,6.44,120,6038,10301,469,0,,
5934,Greed,,OVA,Original,Pony Canyon,Adventure,,1.0,Finished Airing,False,1985-01-21,,57 min,PG-13 - Teens 13 or older,5.31,130,9282,10547,417,0,,
5935,Animation Kikou: Marco Polo no Bouken,Marco Polo's Adventures,TV,Unknown,NHK,Adventure,Madhouse,43.0,Finished Airing,False,1979-04-07,,20 min per ep,G - All Ages,6.32,89,6536,10376,452,3,Spring 1979,Unknown
5936,Hashire! Shiroi Ookami,White Fang,Movie,Unknown,Group TAC,Drama,,1.0,Finished Airing,False,1990-04-28,,1 hr 24 min,PG-13 - Teens 13 or older,6.4,176,6183,9530,691,0,,
5938,Onegai♪My Melody Kirara★,,TV,Unknown,Sanrio,Fantasy,Studio Comet,52.0,Finished Airing,False,2008-04-06,2009-03-02,20 min per ep,G - All Ages,6.54,188,5632,8754,1041,2,Spring 2008,Sundays at 09:30 (JST)
5940,Seiken no Blacksmith,The Sacred Blacksmith,TV,Light novel,Media Factory,Action,Manglobe,12.0,Finished Airing,False,2009-10-03,2009-12-01,24 min per ep,R+ - Mild Nudity,6.88,56328,4115,834,115645,197,Fall 2009,Unknown
5941,Cross Game,Cross Game,TV,Manga,TV Tokyo,Comedy,SynergySP,50.0,Finished Airing,False,2009-04-05,2010-03-02,23 min per ep,PG-13 - Teens 13 or older,8.49,31939,109,1212,76923,2296,Spring 2009,Unknown
5943,The Aurora: Umi no Aurora,The Aurora,Movie,Unknown,Nippon Television Network,Adventure,,1.0,Finished Airing,False,2000-08-05,,1 hr 31 min,None,5.36,28,13202,11960,214,0,,
5945,Element Hunters,,TV,Original,NHK,Sci-Fi,Heewon Entertainment,39.0,Finished Airing,False,2009-07-04,2010-03-02,24 min per ep,G - All Ages,6.68,2392,4962,3858,10621,12,Summer 2009,Saturdays at 18:00 (JST)
5947,Tengen Toppa Gurren Lagann Movie: Lagann-hen Special - Viral no Amai Yume,,OVA,Original,,Comedy,Gainax,1.0,Finished Airing,False,2009-01-01,,5 min,PG-13 - Teens 13 or older,7.39,10682,2129,2692,22911,19,,
5953,Mahou no Princess Minky Momo: Yume wo Dakishimete,Magical Princess Minky Momo: Hold on to Your Dreams,TV,Original,Nippon Television Network,Magic,Production Reed,62.0,Finished Airing,False,1991-10-02,1992-12-02,24 min per ep,G - All Ages,6.79,357,4471,8337,1274,0,Fall 1991,Unknown
5955,Toaru Majutsu no Index-tan,A Certain Magical Index: Specials,Special,Unknown,,Comedy,J.C.Staff,2.0,Finished Airing,False,2009-02-07,2009-05-02,8 min per ep,PG-13 - Teens 13 or older,7.05,20316,3487,1951,39710,36,,
5956,High School! Kimengumi (Movie),,Movie,Unknown,Studio Comet,Action,,1.0,Finished Airing,False,1986-07-12,,50 min,PG - Children,6.37,145,6315,10360,457,0,,
5957,Nyoro-n Churuya-san,Nyoron! Churuya-san,ONA,4-koma manga,Kadokawa Shoten,Comedy,Kyoto Animation,13.0,Finished Airing,False,2009-02-13,,2 min per ep,G - All Ages,6.59,14202,5403,2581,24655,41,,
5958,Sora no Otoshimono,Heaven's Lost Property,TV,Manga,Kadokawa Shoten,Sci-Fi,AIC A.S.T.A.,13.0,Finished Airing,False,2009-10-05,2009-12-02,24 min per ep,PG-13 - Teens 13 or older,7.54,168310,1559,239,314258,3660,Fall 2009,Unknown
5962,Metal Fight Beyblade,Metal Fight Beyblade,TV,Manga,,Adventure,Tatsunoko Production,51.0,Finished Airing,False,2009-04-05,2010-03-02,25 min per ep,PG - Children,6.7,15853,4894,2445,26999,143,Spring 2009,Sundays at 08:30 (JST)
5967,Kinnikuman II Sei: Ultimate Muscle,,TV,Manga,,Action,Toei Animation,13.0,Finished Airing,False,2004-04-07,2004-06-03,24 min per ep,PG-13 - Teens 13 or older,6.98,1990,3739,5754,3997,5,Spring 2004,Unknown
5968,Kinnikuman II Sei: Ultimate Muscle 2,,TV,Manga,,Action,Toei Animation,13.0,Finished Airing,False,2006-01-04,2006-03-02,24 min per ep,PG-13 - Teens 13 or older,7.05,1695,3477,6136,3393,1,Winter 2006,Unknown
5973,Fight Ippatsu! Juuden-chan!!,Juden Chan Recharged,TV,Manga,Avex Entertainment,Ecchi,Studio Hibari,12.0,Finished Airing,False,2009-06-25,,24 min per ep,R+ - Mild Nudity,6.75,11009,4664,2556,25080,48,Summer 2009,Unknown
5978,Kannagi: Moshimo Kannagi ga Attara...,,Special,Manga,Aniplex,Comedy,A-1 Pictures,1.0,Finished Airing,False,2009-05-27,,23 min,PG-13 - Teens 13 or older,7.13,15079,3155,2514,25758,9,,
5983,Higepiyo,,TV,Original,Aniplex,Comedy,Kinema Citrus,39.0,Finished Airing,False,2009-04-03,2010-02-01,5 min per ep,PG - Children,7.18,1871,2948,5285,4942,13,Spring 2009,Unknown
5984,Ristorante Paradiso,,TV,Manga,Fuji TV,Drama,David Production,11.0,Finished Airing,False,2009-04-09,2009-06-02,22 min per ep,PG-13 - Teens 13 or older,7.43,9253,1932,2310,29931,125,Spring 2009,Unknown
5986,Tengai Makyou: Jiraiya Oboro-hen,,OVA,Unknown,,Adventure,TMS Entertainment,2.0,Finished Airing,False,1990-07-27,1990-08-02,50 min per ep,G - All Ages,6.4,35,13177,11682,238,1,,
5987,Marin to Yamato: Fushigi na Nichiyoubi,,OVA,Original,,Kids,,1.0,Finished Airing,False,2000-12-02,,17 min,G - All Ages,5.42,38,11936,12294,189,1,,
5990,Cosmic Fantasy: Ginga Mehyou no Wana,,OVA,Game,Tokuma Shoten,Action,,1.0,Finished Airing,False,1994-08-25,,42 min,PG-13 - Teens 13 or older,5.52,164,8865,10145,509,0,,
5992,Tsuyoshi Shikkari Shinasai,,TV,Manga,Studio Comet,Comedy,,112.0,Finished Airing,False,1992-10-04,1994-12-02,22 min per ep,PG-13 - Teens 13 or older,6.95,291,3850,8661,1094,5,Fall 1992,Unknown
5994,Midoriyama Koukou Koushien-hen,,OVA,Unknown,Animaruya,Comedy,,10.0,Finished Airing,False,1989-09-25,1990-12-01,30 min per ep,PG-13 - Teens 13 or older,6.84,32,11998,11910,217,0,,
5996,Tennis no Ouji-sama: Oshougatsu Special,,Special,Unknown,,Action,Production I.G,1.0,Finished Airing,False,2003-03-07,,22 min,PG-13 - Teens 13 or older,6.96,2605,3819,5015,5650,13,,
5997,Sabu to Ichi Torimono Hikae,Sabu & Ichi's Arrest Warrant,TV,Manga,Mushi Production,Action,Toei Animation,52.0,Finished Airing,False,1968-10-03,1969-09-02,25 min per ep,R - 17+ (violence & profanity),6.56,98,5548,8722,1058,7,Fall 1968,Unknown
5998,Hottarake no Shima: Haruka to Mahou no Kagami,Oblivion Island: Haruka and the Magic Mirror,Movie,Original,Dentsu,Fantasy,Production I.G,1.0,Finished Airing,False,2009-08-22,,1 hr 38 min,G - All Ages,7.49,3437,1699,4440,7648,12,,
6000,Haruwo,,OVA,Original,CoMix Wave Films,Action,,1.0,Finished Airing,False,2005-05-05,,30 min,PG-13 - Teens 13 or older,4.48,192,10104,9561,680,2,,
6007,Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,,OVA,Light novel,,Adventure,"""Brains Base""",1.0,Finished Airing,False,2009-04-30,,23 min,PG-13 - Teens 13 or older,7.95,62194,639,893,109796,258,,
6008,Jewelpet,Jewelpet,TV,Original,TV Osaka,Fantasy,Studio Comet,52.0,Finished Airing,False,2009-04-05,2010-03-02,23 min per ep,PG - Children,6.77,1436,4555,4829,6161,32,Spring 2009,Sundays at 09:30 (JST)
6012,Kinpatsu no Jeanie,,TV,Music,DAX Production,Historical,,13.0,Finished Airing,False,1979-07-19,1979-10-01,25 min per ep,G - All Ages,6.23,69,6921,10467,435,0,Summer 1979,Unknown
6016,Kyoushoku Soukou Guyver (1989),The Guyver: Bio-Booster Armor,OVA,Manga,animate Film,Action,,6.0,Finished Airing,False,1989-09-25,1990-02-02,29 min per ep,PG-13 - Teens 13 or older,7.25,3898,2666,4252,8451,106,,
6018,Patchin shite! Obaachan,,Movie,Unknown,,Drama,,1.0,Finished Airing,False,1992-03-10,,1 hr 30 min,G - All Ages,6.67,18,12489,12568,172,0,,
6023,Nogizaka Haruka no Himitsu: Purezza,,TV,Light novel,ASCII Media Works,Comedy,Diomedea,12.0,Finished Airing,False,2009-10-06,2009-12-02,24 min per ep,PG-13 - Teens 13 or older,7.26,31081,2637,1564,55154,89,Fall 2009,Unknown
6024,Chi's Sweet Home: Atarashii Ouchi,Chi's New Address,TV,Manga,,Comedy,Madhouse,104.0,Finished Airing,False,2009-03-30,2009-09-02,3 min per ep,G - All Ages,7.85,7703,800,2854,20506,104,Spring 2009,Not scheduled once per week
6028,Dr. Slump Movie 04: Arale-chan Hoyoyo! Nanaba Shiro no Hihou,Dr. Slump and Arale-chan: Hoyoyo! The Treasure of Nanaba Castle,Movie,Manga,,Sci-Fi,Toei Animation,1.0,Finished Airing,False,1984-12-22,,48 min,PG-13 - Teens 13 or older,6.51,296,5735,8919,955,0,,
6030,Needless,Needless,TV,Manga,Avex Entertainment,Action,Madhouse,24.0,Finished Airing,False,2009-07-03,2009-12-01,24 min per ep,R - 17+ (violence & profanity),7.36,46476,2243,896,109586,524,Summer 2009,Unknown
6031,Osu!! Karate-bu,Go!! Karate Club,OVA,Manga,Nihon Eizo,Martial Arts,J.C.Staff,4.0,Finished Airing,False,1990-10-21,1992-07-02,50 min per ep,R - 17+ (violence & profanity),6.88,282,4110,9035,902,2,,
6032,Aquarion Movie: Ippatsu Gyakuten-hen,,Movie,Unknown,,Fantasy,Satelight,1.0,Finished Airing,False,2007-09-22,,1 hr 56 min,PG-13 - Teens 13 or older,6.84,1700,4233,5177,5192,4,,
6033,Dragon Ball Kai,Dragon Ball Z Kai,TV,Manga,,Action,Toei Animation,97.0,Finished Airing,False,2009-04-05,2011-03-02,23 min per ep,PG-13 - Teens 13 or older,7.89,101783,716,513,177837,1859,Spring 2009,Sundays at 09:00 (JST)
6038,Transformers Zone,Transformers: Zone,OVA,Unknown,,Mecha,,1.0,Finished Airing,False,1990-07-21,,23 min,PG-13 - Teens 13 or older,5.72,454,8440,8640,1103,0,,
6045,Kimi ni Todoke,Kimi ni Todoke: From Me to You,TV,Manga,VAP,Slice of Life,Production I.G,25.0,Finished Airing,False,2009-10-07,2010-03-03,22 min per ep,PG-13 - Teens 13 or older,8.12,229027,423,116,455116,8517,Fall 2009,Wednesdays at 00:59 (JST)
6046,Tales of Vesperia: The First Strike,Tales of Vesperia ~The First Strike~,Movie,Game,Bandai Visual,Action,Production I.G,1.0,Finished Airing,False,2009-10-03,,1 hr 50 min,PG-13 - Teens 13 or older,7.71,17699,1102,2005,38012,153,,
6050,Mahou Sensei Negima! Mou Hitotsu no Sekai,,OVA,Manga,Studio Pastoral,Action,Shaft,4.0,Finished Airing,False,2009-09-17,2010-08-01,29 min per ep,PG-13 - Teens 13 or older,7.75,6561,994,3046,18032,42,,
6055,F,,TV,Unknown,Kitty Films,Cars,Studio Deen,31.0,Finished Airing,False,1988-03-09,1988-12-02,25 min per ep,PG-13 - Teens 13 or older,6.91,333,3975,8027,1457,6,Spring 1988,Unknown
6056,Sasuke,,TV,Manga,Tele-Cartoon Japan,Action,,29.0,Finished Airing,False,1968-09-03,1969-03-02,25 min per ep,G - All Ages,6.76,122,4641,9620,658,6,Fall 1968,Unknown
6060,Ichigatsu ni wa Christmas,Christmas in January,OVA,Manga,,Romance,Magic Bus,1.0,Finished Airing,False,1991-11-21,,45 min,G - All Ages,6.01,85,7678,10632,401,1,,
6061,Maryuu Senki,,OVA,Unknown,Bandai Visual,Fantasy,AIC,3.0,Finished Airing,False,1987-03-05,1989-07-02,30 min per ep,R - 17+ (violence & profanity),5.42,375,9085,8113,1407,6,,
6062,Duel Masters Movie 2: Lunatic God Saga,,Movie,Original,Shogakukan Music & Digital Entertainment,Action,,1.0,Finished Airing,False,2009-09-19,,1 hr 11 min,G - All Ages,6.17,190,7146,9406,741,1,,
6063,Penguin no Mondai Movie,,Movie,Unknown,Shogakukan Music & Digital Entertainment,Comedy,,1.0,Finished Airing,False,2009-09-19,,23 min,G - All Ages,4.81,16,12511,12973,150,0,,
6064,Higurashi no Naku Koro ni Kai Specials,,Special,Visual novel,Geneon Universal Entertainment,Comedy,Studio Deen,24.0,Finished Airing,False,2007-09-21,2008-08-02,1 min per ep,PG-13 - Teens 13 or older,7.4,13681,2057,2130,34359,126,,
6065,Lemon Angel YJ-ban,,OVA,Manga,,Romance,Xebec,2.0,Finished Airing,False,1990-07-06,,27 min per ep,R+ - Mild Nudity,5.95,62,7843,10969,340,0,,
6067,Moeru! Oniisan,The Burning Wild Man,TV,Manga,Toho,Action,Studio Pierrot,24.0,Finished Airing,False,1988-03-14,1988-09-01,24 min per ep,PG-13 - Teens 13 or older,7.2,45,12060,10479,432,0,Spring 1988,Unknown
6068,Sensei no Ojikan: Doki Doki School Hours OVA,,OVA,4-koma manga,,Comedy,J.C.Staff,7.0,Finished Airing,False,2004-08-04,,23 min per ep,PG-13 - Teens 13 or older,6.66,733,5077,7686,1716,1,,
6069,Gregory Horror Show,Gregory Horror Show,TV,Original,VAP,Mystery,Milky Cartoon,25.0,Finished Airing,False,1999-10-01,,2 min per ep,PG-13 - Teens 13 or older,6.76,846,4613,7112,2238,32,Fall 1999,Unknown
6071,Juuippiki no Neko,Eleven Cats,Movie,Picture book,Group TAC,Fantasy,,1.0,Finished Airing,False,1980-07-19,,1 hr 23 min,G - All Ages,5.92,108,7916,10024,541,4,,
6072,Juuippiki no Neko to Ahoudori,Eleven Cats and an Albatross,Movie,Picture book,Group TAC,Kids,,1.0,Finished Airing,False,1986-08-27,,1 hr 30 min,G - All Ages,5.76,67,8334,10885,356,2,,
6073,21 Emon Uchuu e Irasshai!,,Movie,Unknown,,Space,Shin-Ei Animation,1.0,Finished Airing,False,1981-08-01,,1 hr 32 min,G - All Ages,5.56,67,8782,11021,332,7,,
6074,21 Emon Uchuu ike! Hadashi no Princess,21-Emon: To Space! The Barefoot Princess,Movie,Unknown,,Space,Shin-Ei Animation,1.0,Finished Airing,False,1992-03-07,,40 min,G - All Ages,5.99,88,7728,10690,389,10,,
6075,Ai no Wakakusa Yama Monogatari,,TV,Manga,,Comedy,Gainax,12.0,Finished Airing,False,1999-08-01,,4 min per ep,G - All Ages,6.3,151,6620,9480,711,0,Summer 1999,Unknown
6076,"""Eiji""",,OVA,Manga,animate Film,Comedy,,1.0,Finished Airing,False,1990-08-25,,48 min,R - 17+ (violence & profanity),5.89,507,7989,8285,1300,2,,
6077,Akubi Girl,,TV,Unknown,,Comedy,Tatsunoko Production,26.0,Finished Airing,False,2006-04-02,2006-09-02,4 min per ep,PG - Children,6.04,121,7585,10332,465,0,Spring 2006,Unknown
6078,Al Caral no Isan,Legacy of Aru Kararu,OVA,Manga,Tokuma Shoten,Sci-Fi,animate Film,1.0,Finished Airing,False,1993-02-25,,1 hr 10 min,R+ - Mild Nudity,5.58,148,8747,9996,548,0,,
6087,Jetter Mars,,TV,Original,Madhouse,Action,Toei Animation,27.0,Finished Airing,False,1977-02-03,1977-09-01,23 min per ep,G - All Ages,6.65,180,5120,9666,640,1,Winter 1977,Unknown
6090,Hon Ran,Crimson Wolf,OVA,Unknown,Shogakukan Productions,Action,,1.0,Finished Airing,False,1993-07-07,,59 min,R+ - Mild Nudity,5.14,458,9550,8638,1105,0,,
6091,Shiritsutantei: Toki Shouzou Trouble Note - Hard & Loose,,OVA,Manga,,Action,Nippon Animation,1.0,Finished Airing,False,1992-01-07,,45 min,R+ - Mild Nudity,5.82,33,12881,11629,245,0,,
6093,Anmitsu Hime,Princess Anmitsu,TV,Manga,Fuji Pacific Music Publishing,Comedy,Studio Pierrot,51.0,Finished Airing,False,1986-10-05,1987-09-02,24 min per ep,G - All Ages,6.49,109,5819,9784,605,3,Fall 1986,Sundays at 18:00 (JST)
6095,Azuki-chan the Movie,,Movie,Manga,,Comedy,Madhouse,1.0,Finished Airing,False,1995-12-23,,30 min,G - All Ages,6.1,209,7384,9988,552,0,,
6096,Bad Boys,,OVA,Unknown,,Action,Toei Animation,5.0,Finished Airing,False,1993-09-25,1995-09-02,30 min per ep,R - 17+ (violence & profanity),6.38,169,6262,8806,1018,4,,
6098,Sora no Manimani,At The Mercy of The Sky,TV,Manga,Sony Pictures Entertainment,Slice of Life,Studio Comet,12.0,Finished Airing,False,2009-07-07,2009-09-02,23 min per ep,PG-13 - Teens 13 or older,7.14,14153,3131,2132,34306,63,Summer 2009,Tuesdays at 10:30 (JST)
6107,Aruhi no Clamp Gakuen Tanteidan,CLAMP School Detectives Shorts,Special,Manga,Bandai Visual,Comedy,Studio Pierrot,13.0,Finished Airing,False,2005-04-22,,1 min per ep,G - All Ages,6.32,224,6537,9087,874,1,,
6112,Shin Koihime†Musou,,TV,Visual novel,Marvelous,Comedy,Doga Kobo,12.0,Finished Airing,False,2009-10-05,2009-12-02,25 min per ep,R+ - Mild Nudity,6.93,9559,3926,2567,24811,43,Fall 2009,Unknown
6114,Rainbow: Nisha Rokubou no Shichinin,Rainbow,TV,Manga,VAP,Drama,Madhouse,26.0,Finished Airing,False,2010-04-07,2010-09-02,22 min per ep,R - 17+ (violence & profanity),8.58,85980,79,397,217409,5691,Spring 2010,Unknown
6115,Lupin III vs. Detective Conan,,Special,Unknown,Tokyo Movie Shinsha,Action,TMS Entertainment,1.0,Finished Airing,False,2009-03-27,,1 hr 45 min,PG-13 - Teens 13 or older,7.86,11180,791,2856,20478,24,,
6116,Mainichi Kaasan,Kaasan: Mom's Life,TV,Manga,Nihon Ad Systems,Slice of Life,,142.0,Finished Airing,False,2009-04-01,2012-03-02,25 min per ep,PG - Children,7.57,419,1457,7160,2183,24,Spring 2009,Unknown
6117,Gokujou!! Mecha Mote Iinchou,The Best!! Extremely Cool Student Council President,TV,Manga,TV Tokyo,Comedy,SynergySP,51.0,Finished Airing,False,2009-04-04,2010-03-02,24 min per ep,PG - Children,6.63,898,5213,5145,5268,18,Spring 2009,Saturdays at 09:00 (JST)
6119,Cookin' Idol Ai! Mai! Main!,,TV,Original,NHK,Comedy,Studio Deen,305.0,Finished Airing,False,2009-03-30,2013-03-02,6 min per ep,PG - Children,6.36,103,6365,8425,1225,1,Spring 2009,Unknown
6124,Toshishun,,Special,Book,Gakken,Adventure,,1.0,Finished Airing,False,1981-12-04,,20 min,PG - Children,5.95,38,13284,12619,169,0,,
6127,Toradora!: SOS!,Toradora! SOS! Hooray for Foodies,Special,Unknown,,Comedy,J.C.Staff,4.0,Finished Airing,False,2009-02-03,2009-08-02,5 min per ep,PG-13 - Teens 13 or older,6.42,36856,6129,1309,70531,77,,
6129,Umi Monogatari: Anata ga Ite Kureta Koto,Umi Monogatari,TV,Game,,Supernatural,Zexcs,12.0,Finished Airing,False,2009-06-25,2009-09-01,24 min per ep,PG-13 - Teens 13 or older,6.72,5041,4828,2957,19080,26,Summer 2009,Unknown
6130,Marie & Gali,,TV,Original,NHK,Comedy,Toei Animation,40.0,Finished Airing,False,2009-03-31,2010-03-02,5 min per ep,PG-13 - Teens 13 or older,6.39,467,6241,6437,3015,2,Spring 2009,Unknown
6131,Charady no Joke na Mainichi,,TV,Original,,Comedy,,365.0,Finished Airing,False,2009-04-01,2010-03-03,3 min per ep,PG-13 - Teens 13 or older,5.39,171,9151,7519,1864,1,Spring 2009,Unknown
6137,Tsuki no Waltz,,Music,Unknown,NHK,Music,Madhouse,1.0,Finished Airing,False,2004-11-10,,5 min,G - All Ages,6.59,1114,5417,7480,1893,2,,
6148,Yurumates,,OVA,4-koma manga,Indeprox,Slice of Life,,1.0,Finished Airing,False,2009-04-24,,37 min,PG-13 - Teens 13 or older,6.45,2482,6007,5175,5196,3,,
6149,Chibi Maruko-chan (1995),Little Miss Maruko,TV,Manga,Sakura Production,Comedy,Nippon Animation,,Currently Airing,True,1995-01-08,,23 min,G - All Ages,7.31,631,2415,7358,1998,18,Winter 1995,Sundays at 18:00 (JST)
6150,Hong Xing Xiao Yong Shi,Sparkling Red Star,Movie,Unknown,,Historical,,1.0,Finished Airing,False,2007-10-01,,1 hr 25 min,G - All Ages,6.2,44,11231,11930,216,0,,
6151,Final Fantasy VII: On the Way to a Smile - Episode: Denzel,,OVA,Novel,Square Enix,Action,A-1 Pictures,1.0,Finished Airing,False,2009-04-16,,28 min,PG-13 - Teens 13 or older,7.19,10977,2897,2790,21444,14,,
6152,Final Fantasy VII: Advent Children - Venice Film Festival Footage,Final Fantasy VII: Advent Children - Venice Film Festival Footage,Movie,Game,Square Enix,Action,,1.0,Finished Airing,False,2005-09-14,,23 min,PG-13 - Teens 13 or older,7.63,3630,1283,4233,8567,13,,
6153,Saint Seiya Recap,Saint Seiya: Summary,Special,Unknown,,Sci-Fi,Toei Animation,1.0,Finished Airing,False,2003-01-25,,25 min,PG-13 - Teens 13 or older,7.37,2327,2206,5233,5046,11,,
6154,Saint Seiya: Meiou Hades Juuni Kyuu-hen - Yomigaerishi Gold Saint-tachi no Shinwa,,Special,Unknown,,Sci-Fi,Toei Animation,2.0,Finished Airing,False,2003-01-01,,54 min per ep,PG-13 - Teens 13 or older,7.87,3172,772,4609,6918,17,,
6156,Xi Yang Yang Yu Hui Tai Lang: Zhi Niu Qi Chong Tian,Pleasant Goat and Big Big Wolf: The Super Snail Adventure,Movie,Unknown,Creative Power Entertaining,Adventure,,1.0,Finished Airing,False,2009-01-16,,1 hr 25 min,G - All Ages,5.69,66,8513,11559,255,0,,
6162,Tailenders,,Movie,Original,,Action,Picograph,1.0,Finished Airing,False,2009-10-16,,27 min,PG-13 - Teens 13 or older,6.81,6894,4398,3543,13194,18,,
6163,Kuroshitsuji Recap,,Special,Manga,,Action,A-1 Pictures,1.0,Finished Airing,False,2009-01-09,,24 min,PG-13 - Teens 13 or older,7.32,10796,2393,2447,26968,99,,
6164,Aoi Hana,Sweet Blue Flowers,TV,Manga,Fuji TV,Romance,J.C.Staff,11.0,Finished Airing,False,2009-07-02,2009-09-01,22 min per ep,PG-13 - Teens 13 or older,7.23,23328,2725,1472,60467,340,Summer 2009,Thursdays at 02:08 (JST)
6165,White Album 2nd Season,White Album Season 2,TV,Visual novel,,Drama,Seven Arcs,13.0,Finished Airing,False,2009-10-03,2009-12-02,25 min per ep,PG-13 - Teens 13 or older,6.96,13658,3825,2205,32516,48,Fall 2009,Unknown
6166,Asobi ni Iku yo!,Cat Planet Cuties,TV,Light novel,AIC,Comedy,AIC Plus+,12.0,Finished Airing,False,2010-07-11,2010-09-02,24 min per ep,R+ - Mild Nudity,6.78,62246,4500,735,130261,421,Summer 2010,Sundays at 01:58 (JST)
6169,Tenjoubito to Akutobito Saigo no Tatakai,,Movie,Original,,Action,Kyoto Animation,1.0,Finished Airing,False,2009-04-18,,1 hr 30 min,PG-13 - Teens 13 or older,7.25,2042,2681,4792,6292,7,,
6171,Saint Seiya: The Lost Canvas - Meiou Shinwa,Saint Seiya: The Lost Canvas,OVA,Manga,Akita Shoten,Action,TMS Entertainment,13.0,Finished Airing,False,2009-06-24,2010-04-02,24 min per ep,PG-13 - Teens 13 or older,8.14,32616,394,1454,61630,720,,
6172,Layton Kyouju to Eien no Utahime,Professor Layton and the Eternal Diva,Movie,Game,,Mystery,OLM,1.0,Finished Airing,False,2009-12-19,,1 hr 39 min,PG - Children,7.67,10502,1190,2990,18735,109,,
6178,Pokemon Diamond & Pearl: Arceus Choukoku no Jikuu e,Pokemon: Arceus and the Jewel of Life,Movie,Game,Viz Media,Action,OLM,1.0,Finished Airing,False,2009-07-18,,1 hr 34 min,PG - Children,7.11,26193,3259,1867,43024,75,,
6181,Highway Jenny,,OVA,Original,,Fantasy,Toei Animation,1.0,Finished Airing,False,2006-09-27,,28 min,PG-13 - Teens 13 or older,5.15,373,9538,9129,854,0,,
6182,Maihime,,OVA,Unknown,,Historical,Toei Animation,1.0,Finished Airing,False,2006-08-01,,30 min,PG-13 - Teens 13 or older,6.92,368,3958,8129,1399,5,,
6183,You Shoumei Bijutsukan Line,Yoh Shomei Art Gallery Line,OVA,Unknown,,Fantasy,Toei Animation,1.0,Finished Airing,False,2006-08-01,,24 min,G - All Ages,5.31,238,9292,9713,628,2,,
6184,Makaryuudo Demon Hunter,,OVA,Unknown,Studio Fantasia,Supernatural,,1.0,Finished Airing,False,1989-11-08,,30 min,R+ - Mild Nudity,5.49,487,8924,8512,1168,2,,
6187,Nodame Cantabile OVA,,OVA,Unknown,,Comedy,J.C.Staff,1.0,Finished Airing,False,2009-08-10,,21 min,PG-13 - Teens 13 or older,7.54,11095,1550,2803,21283,11,,
6189,Baton,,Movie,Unknown,,Adventure,,3.0,Finished Airing,False,2009-04-28,2009-09-02,20 min per ep,PG-13 - Teens 13 or older,5.82,577,8187,7548,1832,0,,
6195,Rita to Nantoka,Rita et Machin,TV,Unknown,,Slice of Life,Nippon Animation,26.0,Finished Airing,False,2010-11-01,2010-12-02,5 min per ep,G - All Ages,5.98,46,12656,10895,354,0,Fall 2010,Unknown
6198,Detective Conan OVA 08: High School Girl Detective Sonoko Suzuki's Case Files,,OVA,Manga,Tokyo Movie Shinsha,Police,TMS Entertainment,1.0,Finished Airing,False,2008-01-01,,25 min,PG-13 - Teens 13 or older,7.28,4441,2541,4150,8949,6,,
6199,Mai-Otome Zwei Special,,Special,Original,Bandai Visual,Magic,Sunrise,1.0,Finished Airing,False,2008-03-04,,4 min,G - All Ages,6.82,1099,4335,6563,2857,5,,
6201,Princess Lover!,,TV,Visual novel,Dream Force,Harem,GoHands,12.0,Finished Airing,False,2009-07-06,2009-09-02,24 min per ep,R+ - Mild Nudity,6.94,75907,3883,686,139544,306,Summer 2009,Mondays at Unknown
